dec 20/15:20:50.478 DEBUG2 : 		

StartSession()

dec 20/15:20:50.478 INFO   : Debug Log(info): Loading the I-jet driver
dec 20/15:20:50.478 DEBUG2 : 		-> ConnectToHardware()
dec 20/15:20:50.478 DEBUG2 : 		-> CreateJetTerminal()
dec 20/15:20:50.478 DEBUG2 : 		<- CreateJetTerminal()
dec 20/15:20:50.478 DEBUG2 : 		-> AcquireSigAPIPtr()
dec 20/15:20:50.478 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm\bin\jet\bin')
dec 20/15:20:50.485 DEBUG2 : 		<- AcquireSigAPIPtr()
dec 20/15:20:50.485 DEBUG2 : 		-> CreateSigProbe()
dec 20/15:20:50.487 DEBUG2 : 		  SigProbe version: 1.67
dec 20/15:20:50.487 DEBUG2 : 		<- CreateSigProbe()
dec 20/15:20:50.487 DEBUG2 : 		-> SigProbeInit()
dec 20/15:20:50.487 DEBUG2 : 		<- SigProbeInit()
dec 20/15:20:50.487 INFO   : Debug Log(info): Probe: Probe SW module ver 1.67

dec 20/15:20:50.487 INFO   : Probe: Probe SW module ver 1.67

dec 20/15:20:50.488 INFO   : Debug Log(info): Probe: Option: trace(None)

dec 20/15:20:50.488 INFO   : Probe: Option: trace(None)

dec 20/15:20:50.488 DEBUG2 : 		-> ConnectToProbe()
dec 20/15:20:50.488 DEBUG2 : 		  ISigProbe::EnumScan()
dec 20/15:20:50.505 INFO   : Debug Log(info): Probe: Found I-jet, SN=98177

dec 20/15:20:50.505 INFO   : Probe: Found I-jet, SN=98177

dec 20/15:20:50.505 DEBUG2 : 		  scanning finished: found 1 probes
dec 20/15:20:50.507 DEBUG2 : 		    connection Serial No: 98177
dec 20/15:20:50.508 DEBUG2 : 		    connection found probes: 
dec 20/15:20:50.523 INFO   : Debug Log(info): Probe: Opened connection to I-jet:98177

dec 20/15:20:50.523 INFO   : Probe: Opened connection to I-jet:98177

dec 20/15:20:50.572 INFO   : Debug Log(info): Probe: USB connection verified (7049 packets/s)

dec 20/15:20:50.572 INFO   : Probe: USB connection verified (7049 packets/s)

dec 20/15:20:50.573 INFO   : Debug Log(info): Probe: I-jet, FW ver 7.2, HW Ver:B

dec 20/15:20:50.573 INFO   : Probe: I-jet, FW ver 7.2, HW Ver:B

dec 20/15:20:50.583 INFO   : Debug Log(info): Probe: MIPI20 adapter detected

dec 20/15:20:50.583 INFO   : Probe: MIPI20 adapter detected

dec 20/15:20:50.584 INFO   : Debug Log(info): Probe: Versions: JTAG=1.95 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

dec 20/15:20:50.584 INFO   : Probe: Versions: JTAG=1.95 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

dec 20/15:20:50.584 DEBUG2 : 		<- ConnectToProbe()
dec 20/15:20:50.584 DEBUG2 : 		-> CreateSigEmus()
dec 20/15:20:50.584 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
dec 20/15:20:50.585 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'ijet')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M7')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
dec 20/15:20:50.585 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
