LOADING	C:\Users\KumarDharani\Documents\Aurix_Projects\Projects\FLASH_Program_TC4D7_Exp\TriCore Debug (TASKING)\FLASH_Program_TC4D7_Exp.elf
EMULATION	Probe - System; Root
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
RAM init	PSPR0 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR0 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPR1 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR1 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPR2 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR2 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPR3 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR3 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPR4 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR4 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPR5 at 0xC000'0000, 0x10000 bytes
RAM init	DSPR5 at 0xD000'0000, 0x3c000 bytes
RAM init	PSPRcs at 0xC000'0000, 0x10000 bytes
RAM init	DSPRcs at 0xD000'0000, 0x3c000 bytes
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC4D0 series
EMULATION	STARTED
PROGRAMMING 	29207 bytes
PROGRAMMING	Infineon TC4Dx_PFLASH_20MB (6 sectors)
EMULATION	END - Without cleanup
